"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
29-Mar-16,29-Mar-16,47.58,E7026,CP604,Nov-2015,G0,Other,web- www.toastamsters.dk -,Other,,
16-Mar-16,16-Mar-16,118.84,E7060,TR963,Feb-2016,ITM,DECM,Airfare Bucharest - Budapest - Bucharest,Travel,Air,837 km
29-Jun-16,29-Jun-16,40.00,E7058,TR963,May-2016,K2,DECM,venue -hotel,Venue rental,,
29-Jun-16,29-Jun-16,205.92,E7060,TR963,May-2016,K2,DECM,flight tickets Vantaa-Budapest,Travel,Air,"2,127 km"
29-Jun-16,29-Jun-16,60.18,E7062,TR963,May-2016,K2,DECM,Tampere-Vantaa airport - Tampere,Travel,Car,177 km
29-Jun-16,29-Jun-16,60.00,E7064,TR963,May-2016,K2,DECM,Budapest - Timisoara,Travel,Car,312 km
29-Jun-16,29-Jun-16,575.69,E7008,CO152,May-2016,SC95,Conference,Printing,Communication,,
24-Feb-16,24-Feb-16,7.37,E7080,CO151,Nov-2015,L1,Other,Gifts for the Distrcit 94 Fall Conference,Conference,,
24-Feb-16,24-Feb-16,36.79,E7008,MK520,Dec-2015,L1,Other,Queen's town Marketing materials for club promotion.,Marketing,,
02-May-16,02-May-16,205.00,E7060,TR962,Feb-2016,L1,Other,Travel expenses for Kynote speaker confirmed with Tuire,Marketing,,
21-May-16,21-May-16,92.14,E7062,TR958B,Sep-2015,H3,Club visit,"Detaliate expense for official visit . 50 Euro for petrol, 554 km drive from Cluj-Napoca to Brasov. 20 Euros for one night Hotel",Marketing,,
02-May-16,02-May-16,242.79,E7060,TR956,Apr-2016,AM,Conference,Flight Ticket to Division G Conference,Travel,Air,"2,161 km"
15-Jun-16,15-Jun-16,181.60,E7060,TR956,Feb-2016,AM,DECM,Flight Ticket to DECM,Travel,Air,1674
21-Jun-16,21-Jun-16,88.16,E7026,AD900,May-2016,AM,Other,Formstack Gold Subscription - Proxy handling platform,Other,,
21-Jun-16,21-Jun-16,51.59,E7020,AD900,May-2016,AM,Conference,Printed materials for Timisoara DCM,Conference,,
21-Jun-16,21-Jun-16,185.98,E7060,TR956,May-2016,AM,Conference,"Travel Cost to Timisoara. Limit of 0,17 Euro/km",Travel,Air,547
21-Jun-16,21-Jun-16,256.54,E7060,TR956,May-2016,AM,Other,Travel Cost to Helsinki Bootcamp,Travel,Air,2399 km
29-Jun-16,29-Jun-16,249.91,E7036,CO152,May-2016,SC95,Conference,Web Design ,Advertising,,
29-Jun-16,29-Jun-16,8.36,E7062,TR958B,Jan-2016,I2,Club visit,51km Club Visit,Travel,Car,24.6 km
29-Jun-16,29-Jun-16,25.40,E7062,TR958B,Feb-2016,I2,Club visit,152 km Club Visit,Travel,Car,74.7 km
29-Jun-16,29-Jun-16,25.40,E7062,TR958B,Mar-2016,I2,Club visit,153 km Club Visit,Travel,Car,74.7 km
29-Jun-16,29-Jun-16,45.90,E7062,TR958B,Apr-2016,I2,Club visit,270 km Division I Spring Conference Ulm,Travel,Car,144 km
12-Feb-16,12-Feb-16,103.37,E7066,TR952,Oct-2015,CGD,Conference,Train ticket  - Budapest - Katowicze - Budapest with seat tickets Budapest - Breclav and Breclav - Katowicze,Travel,Train,576 km
12-Feb-16,12-Feb-16,11.93,E7066,TR952,Oct-2015,CGD,Conference,Sleeping wagon ticket Katowicze - Budapest,Travel,Train,576 km
12-Feb-16,12-Feb-16,34.28,E7058,TR952,Oct-2015,CGD,Conference,"Accomodation for 2 nights for 1 person - Katowicze, Hostel ",Lodging,,
21-May-16,21-May-16,80.75,E7044,AD900,Feb-2016,CGD,DECM,Customs fee for the DECM Budapest district store,Marketing,,
21-May-16,21-May-16,52.42,E7044,AD900,Mar-2016,CGD,DECM,Postal delivery fee for medals to Poland and Germany contests,Conference,,
21-May-16,21-May-16,40.00,E7058,TR952,Nov-2015,CGD,Conference,"Reclaimable portion of the hotel invoice of 147 Euro in Hotel Duo Prague. As a friend took me there, no travel cost incurred.",Lodging,,
24-Jan-16,24-Jan-16,61.20,E7062,TR957B,Oct-2015,F0,Other,Demo meeting of the club in Bad Homburg,Travel,Car,182 km
04-Feb-16,04-Feb-16,382.77,E7078,CO153,Oct-2015,F0,Conference,Division F conference,Conference,,
04-Feb-16,04-Feb-16,37.80,E7012,MK520,Oct-2015,F0,Conference,supplies for club building activities,Marketing,,
31-Mar-16,31-Mar-16,20.91,E7008,MK520,Nov-2015,F0,Other,Flyer Toastmaster advertisement,Marketing,,
